user_id,recency,frequency,monetary,cluster
138,1.0,33,148,3
139,30.0,5,14,2
140,2.0,77,1151,1
141,20.0,5,41,2
142,2.0,46,368,3
143,8.0,15,222,0
144,12.0,8,26,0
145,30.0,9,67,2
146,25.0,41,371,3
147,30.0,14,63,2
148,27.0,8,103,2
149,15.0,16,228,0
150,20.0,32,288,3
151,11.0,12,164,0
152,4.0,66,696,1
153,7.0,20,267,0
154,6.0,36,620,3
155,9.0,23,241,3
156,9.0,4,18,0
157,4.0,5,44,0
158,30.0,6,31,2
159,30.0,5,53,2
160,13.0,13,265,0
161,20.0,21,263,2
162,4.0,15,87,0
163,11.0,12,77,0
164,19.0,11,190,2
165,30.0,8,92,2
166,21.0,7,28,2
167,7.0,6,54,0
168,7.0,23,140,0
169,30.0,7,85,2
170,30.0,4,8,2
171,8.0,7,57,0
172,20.0,7,20,2
173,15.0,45,426,3
174,9.0,28,173,3
175,7.0,24,130,0
176,19.0,7,43,2
177,9.0,15,48,0
178,7.0,6,60,0
179,15.0,6,31,0
180,30.0,7,222,2
181,30.0,11,96,2
182,15.0,27,204,3
183,19.0,5,76,2
184,30.0,12,153,2
185,30.0,7,40,2
186,5.0,8,54,0
187,3.0,33,203,3
188,4.0,6,72,0
189,2.0,12,59,0
190,14.0,18,160,0
191,5.0,5,23,0
192,30.0,6,42,2
193,14.0,6,33,0
194,4.0,10,90,0
195,6.0,59,185,3
196,10.0,4,3,0
197,2.0,21,448,3
198,8.0,6,51,0
199,30.0,4,16,2
200,30.0,10,172,2
201,23.0,8,53,2
202,22.0,14,365,2
203,30.0,4,11,2
204,17.0,59,515,3
205,30.0,13,49,2
206,13.0,29,177,3
207,30.0,4,22,2
208,18.0,19,93,0
209,27.0,20,316,2
210,5.0,100,1476,1
211,8.0,5,49,0
212,2.0,13,29,0
213,30.0,6,56,2
214,30.0,28,479,3
215,29.0,6,31,2
216,30.0,18,339,2
217,30.0,12,79,2
218,7.0,7,6,0
219,14.0,34,404,3
220,30.0,17,114,2
221,15.0,24,231,3
222,3.0,71,484,1
223,7.0,50,643,1
224,13.0,4,22,0
225,1.0,12,60,0
226,30.0,22,220,2
227,5.0,32,562,3
228,5.0,5,50,0
229,4.0,18,187,0
230,30.0,11,56,2
231,16.0,4,65,0
232,5.0,37,445,3
233,9.0,26,478,3
234,7.0,43,550,3
235,5.0,22,192,0
236,3.0,46,515,3
237,30.0,9,69,2
238,14.0,7,202,0
239,6.0,6,45,0
240,20.0,6,15,2
241,25.0,15,124,2
242,7.0,17,134,0
243,20.0,28,351,3
244,30.0,8,43,2
245,20.0,6,47,2
246,8.0,6,33,0
247,30.0,6,31,2
248,20.0,59,392,3
249,3.0,10,40,0
250,20.0,12,105,2
251,30.0,11,77,2
252,30.0,5,46,2
253,3.0,4,23,0
254,5.0,12,105,0
255,29.0,5,80,2
256,28.0,19,221,2
257,7.0,21,121,0
258,26.0,25,213,2
259,30.0,4,16,2
260,30.0,18,104,2
261,4.0,9,56,0
262,3.0,46,262,3
263,4.0,4,24,0
264,8.0,30,691,3
265,30.0,8,28,2
266,0.0,6,30,0
267,30.0,10,324,2
268,4.0,10,67,0
269,30.0,4,67,2
270,30.0,23,66,2
271,3.0,16,17,0
272,16.0,10,65,0
273,13.0,20,108,0
274,30.0,15,188,2
275,5.0,15,163,0
276,30.0,10,62,2
277,5.0,4,23,0
278,2.0,69,267,3
279,30.0,15,100,2
280,8.0,42,530,3
281,14.0,31,303,3
282,2.0,4,22,0
283,3.0,6,36,0
284,13.0,17,358,3
285,14.0,5,38,0
286,19.0,4,26,2
287,15.0,15,18,0
288,20.0,4,19,2
289,14.0,50,705,1
290,7.0,52,1590,1
291,17.0,5,17,0
292,30.0,9,131,2
293,30.0,9,114,2
294,30.0,16,108,2
295,8.0,24,265,3
296,4.0,7,30,0
297,6.0,12,49,0
298,16.0,4,49,0
299,13.0,10,64,0
300,5.0,39,280,3
301,18.0,19,148,0
302,12.0,11,76,0
303,13.0,9,13,0
304,6.0,43,278,3
305,30.0,5,40,2
306,14.0,25,120,0
307,2.0,35,171,3
308,4.0,4,11,0
309,1.0,26,308,3
310,4.0,100,493,1
311,12.0,16,61,0
312,30.0,5,29,2
313,4.0,100,787,1
314,30.0,6,11,2
315,24.0,5,34,2
316,8.0,22,190,0
317,6.0,5,40,0
318,24.0,8,7,2
319,2.0,9,55,0
320,13.0,6,142,0
321,25.0,34,478,3
322,21.0,15,150,2
323,4.0,72,1050,1
324,30.0,12,93,2
325,6.0,8,94,0
326,27.0,6,47,2
327,3.0,64,734,1
328,27.0,13,126,2
329,14.0,9,33,0
330,6.0,8,36,0
331,12.0,9,39,0
332,8.0,13,234,0
333,30.0,9,42,2
334,2.0,64,841,1
335,14.0,7,44,0
336,7.0,12,42,0
337,30.0,13,247,2
338,29.0,6,26,2
339,15.0,4,29,0
340,14.0,6,53,0
341,30.0,12,195,2
342,30.0,17,139,2
343,10.0,5,18,0
344,30.0,10,25,2
345,19.0,4,13,2
346,30.0,7,36,2
347,28.0,4,13,2
348,7.0,29,135,0
349,5.0,8,41,0
350,7.0,15,171,0
351,9.0,15,180,0
352,30.0,11,195,2
353,30.0,12,111,2
354,30.0,6,7,2
355,30.0,14,136,2
356,30.0,4,23,2
357,10.0,9,154,0
358,30.0,8,53,2
359,6.0,16,199,0
360,1.0,4,16,0
361,2.0,7,89,0
362,6.0,12,111,0
363,10.0,13,214,0
364,9.0,19,177,0
365,7.0,16,37,0
366,2.0,4,39,0
367,30.0,5,78,2
368,30.0,5,7,2
369,13.0,17,121,0
370,30.0,28,332,2
371,20.0,4,29,2
372,30.0,13,87,2
373,6.0,59,568,1
374,14.0,17,23,0
375,30.0,8,116,2
376,30.0,9,89,2
377,30.0,4,29,2
378,27.0,9,20,2
379,30.0,20,200,2
380,3.0,13,47,0
381,8.0,17,355,3
382,10.0,30,212,3
383,30.0,10,98,2
384,16.0,10,21,0
385,30.0,5,33,2
386,15.0,5,38,0
387,30.0,9,59,2
388,30.0,11,14,2
389,6.0,13,201,0
390,20.0,23,381,3
391,29.0,24,202,2
392,30.0,7,15,2
393,27.0,11,215,2
394,26.0,6,198,2
395,30.0,4,18,2
396,30.0,19,296,2
397,8.0,4,18,0
398,4.0,54,441,3
399,18.0,4,27,0
400,30.0,6,74,2
401,5.0,5,45,0
402,4.0,5,9,0
403,8.0,33,442,3
404,24.0,7,46,2
405,28.0,6,45,2
406,5.0,5,62,0
407,8.0,5,73,0
408,30.0,5,36,2
409,7.0,87,850,1
410,16.0,29,566,3
411,30.0,12,62,2
412,20.0,5,37,2
413,4.0,21,238,0
414,20.0,4,28,2
415,30.0,7,50,2
416,30.0,4,21,2
417,14.0,10,81,0
418,13.0,9,167,0
419,21.0,25,68,2
420,8.0,23,128,0
421,30.0,4,16,2
422,30.0,28,270,2
423,7.0,43,100,3
424,30.0,5,7,2
425,21.0,8,99,2
426,30.0,14,40,2
427,30.0,9,43,2
428,30.0,4,28,2
429,16.0,30,100,0
430,6.0,9,61,0
431,7.0,10,11,0
432,7.0,53,445,3
433,22.0,6,32,2
434,8.0,5,34,0
435,14.0,14,145,0
436,7.0,17,48,0
437,14.0,20,185,0
438,10.0,12,169,0
439,30.0,10,129,2
440,11.0,19,44,0
441,25.0,15,68,2
442,9.0,13,159,0
443,8.0,11,141,0
444,7.0,43,1181,1
445,30.0,5,22,2
446,30.0,9,26,2
447,30.0,6,17,2
448,6.0,34,447,3
449,1.0,22,114,0
450,26.0,18,187,2
451,6.0,33,242,3
452,19.0,25,301,3
453,21.0,14,97,2
454,7.0,55,658,1
455,8.0,8,66,0
456,30.0,7,29,2
457,7.0,5,62,0
458,9.0,15,160,0
459,8.0,24,111,0
460,30.0,4,38,2
461,30.0,5,19,2
462,4.0,60,1144,1
463,25.0,8,85,2
464,7.0,50,388,3
465,7.0,41,486,3
466,14.0,32,686,3
467,15.0,6,55,0
468,23.0,7,20,2
469,30.0,9,55,2
470,6.0,17,76,0
471,10.0,7,125,0
472,30.0,5,8,2
473,18.0,12,222,0
474,30.0,30,179,2
475,11.0,29,175,3
476,7.0,17,216,0
477,17.0,5,21,0
478,30.0,9,70,2
479,8.0,24,238,3
480,4.0,13,176,0
481,12.0,36,452,3
482,2.0,10,116,0
483,30.0,10,20,2
484,0.0,11,38,0
485,10.0,13,143,0
486,30.0,13,285,2
487,9.0,34,490,3
488,30.0,7,112,2
489,30.0,8,83,2
490,30.0,4,4,2
491,30.0,4,31,2
492,7.0,6,57,0
493,4.0,8,74,0
494,30.0,4,103,2
495,12.0,25,308,3
496,2.0,83,452,1
497,30.0,10,160,2
498,30.0,13,134,2
499,6.0,7,59,0
500,15.0,4,38,0
501,30.0,7,69,2
502,30.0,8,160,2
503,8.0,37,334,3
504,30.0,5,30,2
505,30.0,4,13,2
506,26.0,5,12,2
507,11.0,8,133,0
508,5.0,20,238,0
509,4.0,12,156,0
510,13.0,10,54,0
511,30.0,6,53,2
512,30.0,5,57,2
513,30.0,4,8,2
514,17.0,6,24,0
515,1.0,20,70,0
516,5.0,94,900,1
517,14.0,5,32,0
518,30.0,6,17,2
519,12.0,11,24,0
520,7.0,30,245,3
521,30.0,7,25,2
522,15.0,11,64,0
523,30.0,13,59,2
524,30.0,6,69,2
525,11.0,37,196,3
526,14.0,5,155,0
527,30.0,4,7,2
528,6.0,35,494,3
529,5.0,51,324,3
530,5.0,4,49,0
531,15.0,30,164,3
532,22.0,5,59,2
533,30.0,5,41,2
534,0.0,8,13,0
535,13.0,29,200,3
536,16.0,4,25,0
537,30.0,6,20,2
538,12.0,27,226,3
539,8.0,18,159,0
540,30.0,6,46,2
541,30.0,6,27,2
542,5.0,4,12,0
543,21.0,12,124,2
544,1.0,5,22,0
545,5.0,5,47,0
546,22.0,7,13,2
547,1.0,11,209,0
548,30.0,8,68,2
549,21.0,11,79,2
550,8.0,5,121,0
551,30.0,11,86,2
552,11.0,13,70,0
553,28.0,10,119,2
554,21.0,7,70,2
555,30.0,12,94,2
556,0.0,4,32,0
557,30.0,6,59,2
558,1.0,28,314,3
559,13.0,23,255,3
560,7.0,35,163,3
561,30.0,5,7,2
562,2.0,52,64,3
563,8.0,6,42,0
564,17.0,10,177,0
565,29.0,6,17,2
566,30.0,14,141,2
567,11.0,22,278,3
568,8.0,11,75,0
569,30.0,4,3,2
570,22.0,7,68,2
571,10.0,7,74,0
572,1.0,4,23,0
573,30.0,16,81,2
574,8.0,12,96,0
575,20.0,5,9,2
576,30.0,7,47,2
577,4.0,6,60,0
578,23.0,4,34,2
579,30.0,4,15,2
580,10.0,22,232,0
581,30.0,4,28,2
582,25.0,22,361,2
583,30.0,35,703,3
584,2.0,9,65,0
585,10.0,12,53,0
586,26.0,5,28,2
587,13.0,13,107,0
588,29.0,19,144,2
589,7.0,5,72,0
590,30.0,5,36,2
591,6.0,8,15,0
592,30.0,5,32,2
593,4.0,18,33,0
594,30.0,6,17,2
595,30.0,8,54,2
596,5.0,65,793,1
597,15.0,8,94,0
598,20.0,8,21,2
599,1.0,33,84,0
600,8.0,8,138,0
601,28.0,10,92,2
602,14.0,8,32,0
603,14.0,6,81,0
604,29.0,28,405,3
605,30.0,6,167,2
606,14.0,31,172,3
607,7.0,11,97,0
608,10.0,14,53,0
609,12.0,19,116,0
610,13.0,4,49,0
611,14.0,17,160,0
612,6.0,40,556,3
613,7.0,13,165,0
614,20.0,4,31,2
615,30.0,5,33,2
616,8.0,29,340,3
617,7.0,11,79,0
618,10.0,28,472,3
619,30.0,5,4,2
620,30.0,6,11,2
621,30.0,5,119,2
622,29.0,6,48,2
623,30.0,12,173,2
624,6.0,7,37,0
625,30.0,4,60,2
626,5.0,95,808,1
627,30.0,4,4,2
628,30.0,4,76,2
629,22.0,8,41,2
630,30.0,42,312,3
631,6.0,8,56,0
632,30.0,6,21,2
633,16.0,5,15,0
634,8.0,12,85,0
635,30.0,24,99,2
636,28.0,22,30,2
637,9.0,18,124,0
638,11.0,21,171,0
639,14.0,4,56,0
640,5.0,4,26,0
641,5.0,30,307,3
642,30.0,7,47,2
643,30.0,10,100,2
644,7.0,4,9,0
645,7.0,40,223,3
646,4.0,57,340,3
647,24.0,10,69,2
648,30.0,5,61,2
649,13.0,46,887,1
650,7.0,10,100,0
651,8.0,15,124,0
652,5.0,96,497,1
653,5.0,26,384,3
654,15.0,9,13,0
655,2.0,79,681,1
656,30.0,4,31,2
657,7.0,31,319,3
658,8.0,33,593,3
659,30.0,4,18,2
660,30.0,10,108,2
661,16.0,10,82,0
662,8.0,13,149,0
663,19.0,5,17,2
664,19.0,8,57,2
665,1.0,22,80,0
666,30.0,4,5,2
667,6.0,76,887,1
668,21.0,15,217,2
669,30.0,29,289,2
670,30.0,6,69,2
671,30.0,9,189,2
672,30.0,19,319,2
673,30.0,7,75,2
674,4.0,5,84,0
675,9.0,11,79,0
676,26.0,12,19,2
677,23.0,6,6,2
678,4.0,22,346,3
679,19.0,9,68,2
680,1.0,7,11,0
681,13.0,6,94,0
682,17.0,20,67,0
683,17.0,7,120,0
684,7.0,27,93,0
685,16.0,5,40,0
686,5.0,4,10,0
687,4.0,20,764,3
688,0.0,64,377,3
689,30.0,4,49,2
690,2.0,100,851,1
691,16.0,23,45,0
692,23.0,12,101,2
693,19.0,6,39,2
694,21.0,9,55,2
695,6.0,4,35,0
696,30.0,39,308,3
697,26.0,6,6,2
698,30.0,6,86,2
699,9.0,37,584,3
700,3.0,9,67,0
701,15.0,8,66,0
702,3.0,27,56,0
703,7.0,10,147,0
704,20.0,7,81,2
705,8.0,7,48,0
706,30.0,11,93,2
707,30.0,13,43,2
708,30.0,15,40,2
709,6.0,6,192,0
710,14.0,17,160,0
711,10.0,6,18,0
712,30.0,5,15,2
713,13.0,16,95,0
714,18.0,16,47,0
715,10.0,14,25,0
716,8.0,5,45,0
717,8.0,8,11,0
718,30.0,4,17,2
719,2.0,73,912,1
720,19.0,24,309,3
721,19.0,19,234,2
722,30.0,9,75,2
723,12.0,14,278,0
724,30.0,4,20,2
725,20.0,10,110,2
726,7.0,8,41,0
727,9.0,22,323,3
728,16.0,19,249,0
729,7.0,60,347,3
730,20.0,12,99,2
731,12.0,10,81,0
732,4.0,42,160,3
733,30.0,5,25,2
734,16.0,8,240,0
735,4.0,10,185,0
736,30.0,4,55,2
737,14.0,16,112,0
738,30.0,8,86,2
739,30.0,4,36,2
740,14.0,6,75,0
741,8.0,30,276,3
742,3.0,14,115,0
743,26.0,6,43,2
744,11.0,6,22,0
745,4.0,10,63,0
746,30.0,9,36,2
747,30.0,8,75,2
748,17.0,4,22,0
749,4.0,10,88,0
750,6.0,4,11,0
751,30.0,7,27,2
752,30.0,12,104,2
753,30.0,4,41,2
754,30.0,14,64,2
755,4.0,13,108,0
756,10.0,22,277,3
757,30.0,6,42,2
758,2.0,34,218,3
759,30.0,4,7,2
760,8.0,5,8,0
761,30.0,9,84,2
762,6.0,47,455,3
763,7.0,4,10,0
764,5.0,4,58,0
765,8.0,6,17,0
766,4.0,16,137,0
767,9.0,32,276,3
768,13.0,34,422,3
769,15.0,13,90,0
770,7.0,5,48,0
771,30.0,4,21,2
772,3.0,11,44,0
773,5.0,10,55,0
774,23.0,11,103,2
775,30.0,9,65,2
776,30.0,4,12,2
777,7.0,27,113,0
778,2.0,43,349,3
779,19.0,7,113,2
780,7.0,19,102,0
781,7.0,8,17,0
782,30.0,5,58,2
783,30.0,4,3,2
784,9.0,8,68,0
785,21.0,11,77,2
786,2.0,100,1010,1
787,2.0,41,223,3
788,30.0,4,19,2
789,21.0,12,39,2
790,27.0,5,22,2
791,1.0,15,80,0
792,9.0,9,109,0
793,22.0,6,13,2
794,27.0,6,41,2
795,21.0,13,34,2
796,23.0,8,160,2
797,30.0,19,128,2
798,20.0,13,67,2
799,12.0,16,108,0
800,8.0,22,89,0
801,4.0,6,33,0
802,7.0,7,98,0
803,5.0,8,86,0
804,5.0,16,112,0
805,30.0,5,48,2
806,18.0,14,28,0
807,4.0,22,26,0
808,30.0,4,29,2
809,11.0,22,160,0
810,30.0,4,22,2
811,30.0,8,79,2
812,6.0,48,846,1
813,30.0,6,18,2
814,12.0,4,19,0
815,10.0,4,23,0
816,30.0,5,136,2
817,12.0,16,154,0
818,15.0,70,433,3
819,8.0,5,53,0
820,26.0,5,41,2
821,7.0,4,34,0
822,30.0,4,66,2
823,30.0,7,23,2
824,7.0,22,111,0
825,13.0,10,33,0
826,25.0,4,12,2
827,18.0,8,41,0
828,0.0,7,11,0
829,1.0,4,12,0
830,3.0,7,98,0
831,30.0,20,97,2
832,30.0,6,65,2
833,22.0,12,219,2
834,30.0,22,235,2
835,30.0,5,9,2
836,30.0,14,31,2
837,8.0,5,73,0
838,7.0,24,58,0
839,30.0,27,549,3
840,15.0,10,47,0
841,14.0,16,167,0
842,30.0,13,198,2
843,18.0,5,42,0
844,22.0,19,100,2
845,6.0,23,266,3
846,17.0,5,54,0
847,8.0,38,651,3
848,8.0,44,314,3
849,1.0,30,113,0
850,11.0,8,63,0
851,5.0,7,64,0
852,13.0,38,563,3
853,30.0,19,100,2
854,3.0,84,761,1
855,11.0,16,290,0
856,30.0,5,23,2
857,7.0,47,536,3
858,3.0,31,62,0
859,5.0,8,118,0
860,21.0,20,184,2
861,30.0,4,4,2
862,13.0,8,42,0
863,30.0,11,175,2
864,9.0,30,157,3
865,30.0,4,13,2
866,15.0,23,502,3
867,30.0,6,14,2
868,6.0,86,466,1
869,22.0,5,43,2
870,6.0,45,687,1
871,30.0,8,10,2
872,30.0,5,40,2
873,6.0,9,133,0
874,7.0,14,183,0
875,12.0,5,19,0
876,2.0,5,47,0
877,27.0,13,131,2
878,7.0,7,29,0
879,4.0,57,508,3
880,30.0,50,470,3
881,18.0,18,383,3
882,3.0,5,26,0
883,9.0,13,53,0
884,30.0,4,43,2
885,12.0,22,95,0
886,12.0,23,139,0
887,30.0,9,112,2
888,3.0,16,153,0
889,30.0,6,36,2
890,14.0,21,296,3
891,30.0,16,221,2
892,12.0,13,122,0
893,30.0,29,232,2
894,16.0,67,1404,1
895,20.0,6,25,2
896,7.0,27,379,3
897,30.0,5,52,2
898,8.0,53,262,3
899,3.0,11,141,0
900,14.0,8,184,0
901,30.0,5,15,2
902,16.0,4,46,0
903,30.0,8,62,2
904,30.0,9,24,2
905,4.0,5,38,0
906,14.0,5,58,0
907,7.0,24,276,3
908,2.0,6,166,0
909,19.0,4,11,2
910,0.0,13,20,0
911,17.0,40,545,3
912,3.0,8,63,0
913,20.0,28,145,2
914,9.0,34,330,3
915,19.0,10,103,2
916,30.0,7,17,2
917,10.0,26,544,3
918,30.0,5,37,2
919,30.0,11,135,2
920,30.0,5,20,2
921,15.0,13,64,0
922,19.0,4,43,2
923,30.0,13,78,2
924,20.0,15,412,3
925,12.0,4,18,0
926,3.0,8,45,0
927,3.0,5,41,0
928,30.0,9,27,2
929,7.0,4,39,0
930,30.0,5,29,2
931,20.0,4,46,2
932,4.0,32,221,3
933,7.0,33,369,3
934,30.0,6,7,2
935,19.0,19,267,2
936,28.0,7,27,2
937,30.0,11,73,2
938,11.0,15,24,0
939,30.0,7,61,2
940,15.0,8,88,0
941,4.0,10,92,0
942,12.0,10,71,0
943,22.0,4,8,2
944,13.0,4,29,0
945,9.0,10,139,0
946,29.0,19,316,2
947,30.0,40,367,3
948,30.0,10,48,2
949,9.0,9,16,0
950,30.0,16,125,2
951,30.0,4,33,2
952,30.0,4,14,2
953,30.0,10,121,2
954,4.0,12,88,0
955,3.0,6,30,0
956,7.0,12,80,0
957,4.0,33,199,3
958,7.0,38,464,3
959,14.0,10,119,0
960,3.0,20,154,0
961,11.0,50,379,3
962,3.0,28,290,3
963,7.0,49,306,3
964,3.0,100,718,1
965,18.0,6,51,0
966,17.0,16,155,0
967,30.0,5,42,2
968,7.0,59,562,1
969,17.0,12,222,0
970,20.0,7,21,2
971,25.0,25,27,2
972,8.0,23,240,3
973,8.0,26,554,3
974,30.0,7,70,2
975,2.0,32,217,3
976,0.0,5,65,0
977,5.0,14,93,0
978,14.0,15,215,0
979,17.0,15,55,0
980,6.0,47,357,3
981,6.0,7,39,0
982,11.0,14,492,3
983,6.0,7,92,0
984,2.0,51,411,3
985,30.0,10,47,2
986,11.0,21,20,0
987,30.0,8,55,2
988,30.0,4,5,2
989,5.0,4,19,0
990,8.0,10,40,0
991,13.0,6,11,0
992,30.0,22,67,2
993,10.0,14,99,0
994,13.0,11,181,0
995,14.0,36,293,3
996,30.0,5,45,2
997,30.0,18,114,2
998,10.0,27,345,3
999,9.0,39,1001,1
1000,21.0,8,103,2
1001,24.0,6,80,2
1002,29.0,19,109,2
1003,7.0,9,112,0
1004,6.0,56,1103,1
1005,10.0,11,107,0
1006,17.0,5,30,0
1007,19.0,9,58,2
1008,4.0,7,53,0
1009,8.0,20,184,0
1010,30.0,5,43,2
1011,22.0,8,138,2
1012,6.0,9,76,0
1013,29.0,20,226,2
1014,30.0,7,8,2
1015,6.0,12,34,0
1016,28.0,6,91,2
1017,30.0,6,27,2
1018,3.0,87,1033,1
1019,28.0,10,117,2
1020,13.0,5,40,0
1021,8.0,33,679,3
1022,3.0,79,581,1
1023,6.0,16,229,0
1024,1.0,100,137,1
1025,30.0,8,70,2
1026,30.0,6,8,2
1027,7.0,48,458,3
1028,30.0,4,53,2
1029,1.0,27,70,0
1030,30.0,4,10,2
1031,25.0,10,21,2
1032,30.0,4,52,2
1033,6.0,5,49,0
1034,22.0,7,43,2
1035,17.0,28,313,3
1036,10.0,32,642,3
1037,30.0,8,172,2
1038,15.0,15,136,0
1039,30.0,7,13,2
1040,5.0,9,124,0
1041,15.0,16,146,0
1042,30.0,8,74,2
1043,30.0,10,158,2
1044,8.0,27,173,3
1045,30.0,4,44,2
1046,30.0,4,118,2
1047,12.0,13,145,0
1048,25.0,4,25,2
1049,7.0,18,81,0
1050,30.0,27,99,2
1051,12.0,13,21,0
1052,8.0,21,48,0
1053,30.0,5,16,2
1054,13.0,6,58,0
1055,7.0,16,217,0
1056,22.0,17,409,3
1057,0.0,4,83,0
1058,8.0,44,101,3
1059,7.0,36,1002,1
1060,6.0,11,14,0
1061,30.0,4,12,2
1062,24.0,13,116,2
1063,30.0,4,7,2
1064,6.0,8,95,0
1065,10.0,6,54,0
1066,9.0,55,629,1
1067,7.0,19,183,0
1068,30.0,4,6,2
1069,30.0,7,64,2
1070,30.0,5,39,2
1071,14.0,9,35,0
1072,7.0,16,142,0
1073,6.0,6,20,0
1074,30.0,4,36,2
1075,6.0,84,450,1
1076,23.0,8,22,2
1077,18.0,13,108,0
1078,5.0,9,56,0
1079,30.0,9,63,2
1080,5.0,13,79,0
1081,30.0,8,41,2
1082,30.0,9,49,2
1083,18.0,21,205,0
1084,10.0,34,267,3
1085,30.0,4,8,2
1086,3.0,6,17,0
1087,30.0,5,16,2
1088,2.0,16,212,0
1089,14.0,16,127,0
1090,2.0,5,11,0
1091,30.0,6,46,2
1092,9.0,9,60,0
1093,7.0,9,82,0
1094,14.0,6,35,0
1095,3.0,32,378,3
1096,6.0,20,124,0
1097,30.0,4,19,2
1098,12.0,4,3,0
1099,13.0,9,9,0
1100,7.0,8,66,0
1101,8.0,24,70,0
1102,30.0,10,28,2
1103,25.0,8,23,2
1104,30.0,8,42,2
1105,14.0,8,102,0
1106,30.0,9,44,2
1107,11.0,33,475,3
1108,28.0,10,131,2
1109,4.0,39,343,3
1110,30.0,5,28,2
1111,14.0,13,198,0
1112,30.0,12,126,2
1113,30.0,5,22,2
1114,30.0,4,25,2
1115,30.0,13,33,2
1116,30.0,16,160,2
1117,6.0,6,44,0
1118,25.0,10,85,2
1119,30.0,6,60,2
1120,7.0,75,717,1
1121,30.0,5,43,2
1122,7.0,21,242,0
1123,8.0,8,57,0
1124,30.0,11,99,2
1125,30.0,6,22,2
1126,30.0,11,57,2
1127,12.0,7,32,0
1128,30.0,9,72,2
1129,4.0,4,43,0
1130,6.0,50,308,3
1131,18.0,8,15,0
1132,5.0,13,113,0
1133,5.0,7,30,0
1134,3.0,11,108,0
1135,22.0,5,29,2
1136,4.0,26,264,3
1137,9.0,16,269,0
1138,2.0,60,197,3
1139,12.0,30,584,3
1140,21.0,12,37,2
1141,5.0,31,220,3
1142,9.0,39,135,3
1143,14.0,4,21,0
1144,30.0,4,31,2
1145,6.0,4,42,0
1146,30.0,4,25,2
1147,25.0,16,85,2
1148,15.0,5,65,0
1149,11.0,5,10,0
