user_id,user_total_orders,user_avg_days_between_orders,user_reorder_ratio
17873,100,2.01,0.4429
54485,100,0.47,0.8536
202939,100,2.89,0.8172
187755,100,2.6,0.7716
70860,100,1.07,0.6845
18085,100,1.44,0.9433
16689,100,2.28,0.7288
179837,100,3.18,0.9137
179373,100,2.6,0.8551
186935,100,3.45,0.8638
30056,100,3.37,0.8036
129867,100,3.26,0.6529
12587,100,3.26,0.6881
30077,100,2.56,0.7257
93608,100,3.45,0.7412
25416,100,3.64,0.8049
145555,100,3.25,0.6569
145599,100,3.45,0.7532
91972,100,3.3,0.8231
97290,100,2.93,0.8076
57367,100,3.51,0.8987
201623,100,2.55,0.802
188192,100,3.5,0.8419
201593,100,3.46,0.6948
137764,100,2.93,0.7622
3742,100,3.21,0.7949
137799,100,2.49,0.8875
67870,100,2.72,0.8678
93581,100,3.26,0.7615
40817,100,3.4,0.663
38095,100,2.61,0.9294
103401,100,3.43,0.7571
53684,100,3.29,0.8892
142245,100,3.36,0.8099
147158,100,3.09,0.8068
203020,100,3.64,0.579
179917,100,3.51,0.6412
175294,100,3.29,0.8694
92052,100,2.76,0.5905
23701,100,2.47,0.744
142304,100,2.63,0.8147
85602,100,3.59,0.7115
158972,100,2.23,0.5434
71663,100,3.02,0.6783
10600,100,2.85,0.6346
193466,100,2.97,0.7375
164469,100,3.57,0.8354
97439,100,3.04,0.7625
147173,100,3.4,0.889
137629,100,3.63,0.9028
57621,100,2.48,0.6575
35061,100,1.37,0.5922
97557,100,1.68,0.7617
145454,100,3.19,0.7719
107152,100,1.71,0.8226
91035,100,2.93,0.5717
3960,100,2.9,0.85
201248,100,3.59,0.8166
74680,100,2.48,0.7808
74642,100,3.05,0.8842
83068,100,2.11,0.7384
68880,100,2.98,0.7782
166083,100,1.88,0.8242
33731,100,2.24,0.83
193551,100,2.9,0.7311
183651,100,2.9,0.8196
63718,100,2.48,0.6699
130036,100,3.5,0.6266
121714,100,2.73,0.8182
10502,100,3.61,0.7943
71189,100,3.02,0.6545
193647,100,3.52,0.8388
41002,100,1.29,0.8447
190983,100,3.47,0.7275
103206,100,3.43,0.8151
184906,100,3.41,0.7359
54594,100,2.65,0.8475
16265,100,2.84,0.8722
68266,100,3.65,0.7421
139038,100,3.15,0.6198
116331,100,3.07,0.7822
179342,100,3.05,0.761
81704,100,2.78,0.7399
81663,100,3.09,0.7573
65141,100,1.83,0.7185
85333,100,3.17,0.7397
85296,100,3.43,0.6093
49200,100,1.63,0.6803
92111,100,2.81,0.7031
203159,100,2.85,0.7461
193748,100,3.01,0.7785
168904,100,2.84,0.8482
38016,100,2.44,0.8228
201135,100,3.2,0.606
49186,100,2.42,0.7332
175097,100,2.37,0.7911
201038,100,3.26,0.9293
67736,100,2.99,0.8938
147703,100,2.61,0.7076
137255,100,2.6,0.8244
203193,100,3.13,0.7856
145244,100,2.82,0.7627
81678,100,1.89,0.9608
14798,100,3.56,0.7615
180103,100,1.75,0.6606
147834,100,2.35,0.7756
4199,100,3.44,0.7414
125280,100,2.74,0.6123
51127,100,2.29,0.7371
190887,100,2.96,0.7417
86661,100,3.19,0.8982
71782,100,3.16,0.7244
156964,100,3.19,0.7945
141069,100,2.98,0.7
51141,100,2.11,0.7465
96230,100,3.17,0.8979
48969,100,3.54,0.6975
4284,100,3.34,0.8722
83161,100,2.59,0.7661
170746,100,2.38,0.8203
110741,100,2.17,0.7259
86633,100,1.47,0.783
41356,100,3.31,0.9402
178209,100,3.6,0.7067
141106,100,2.39,0.4991
12772,100,3.22,0.7335
96192,100,2.94,0.7483
116279,100,3.33,0.7467
180135,100,2.65,0.8155
58040,100,2.24,0.6129
4356,100,2.83,0.8919
48890,100,3.56,0.7923
148054,100,3.1,0.7607
148024,100,2.24,0.6713
174923,100,2.96,0.7914
86804,100,2.66,0.863
53452,100,3.31,0.7649
41509,100,1.19,0.733
71821,100,1.41,0.8871
168854,100,3.61,0.8479
205543,100,2.06,0.7249
141034,100,2.72,0.6122
136870,100,2.92,0.8362
48732,100,1.85,0.7472
21777,100,2.99,0.7125
174854,100,3.62,0.928
159549,100,1.94,0.6263
159550,100,2.89,0.8267
30873,100,2.66,0.7188
148162,100,3.58,0.8155
16290,100,2.64,0.8579
690,100,3.36,0.7685
121860,100,3.17,0.7753
41548,100,2.07,0.6898
